Control_ID,Control_Name,Veriscan_Feature,Evidence_Output,Notes
CM-3,Configuration Change Control,Policy digest binding records exact policy configuration in every report; policy changes detectable by digest comparison,report.policy.digest (SHA-256 of serialized policy),Policy file change management (version control) is operator's responsibility
CM-6,Configuration Settings,Four reference policy profiles encode security-relevant settings; policy-validate verifies conformance before use,report.policy.name / report.policy.version / report.policy.digest,Policy files must be stored under organizational CM baseline
CM-7,Least Functionality,deny_file_types list and executable_handling: deny_all restrict admitted artifact types; url_patterns_denylist controls acquisition sources,report.inspection.file_type / report.verdict / evidence[inspect].outputs.file_type,Controls artifact intake types; runtime system functionality requires additional controls
CM-14,Signed Components,PGP detached signature verification with signer fingerprint pinning (allow_signers); unsigned artifacts FAILED under contractor_strict or airgapped policy,report.signature.status / report.signature.fingerprint / report.signature.signer_uid,Requires require_signature: true and allow_signers populated in policy for full enforcement
SI-3,Malware Protection,ClamAV subprocess integration scans artifacts before admission; malware detection is mandatory hard-fail regardless of policy settings,report.malware_scan.status / report.malware_scan.engine / report.malware_scan.engine_version / report.malware_scan.detections,ClamAV definition updates are operator's responsibility; novel malware not in signature DB not detected
SI-3(1),Malware Protection — Central Management,Policy files centrally define scanner path / timeout / output bounds / fatal flags; policy digest ensures configuration consistency,report.policy.digest / evidence[malware].tool_versions.clamscan,Centralized policy distribution is operator's responsibility
SI-7,Software Firmware and Information Integrity,SHA-256 and SHA-512 hash verification; in-pipeline mutation detection (assert_no_mutation) re-verifies hash after each stage; offline bundle manifest signature,report.hashes.sha256 / report.hashes.sha256_verified / report.hashes.sha512_verified / evidence[hash].outputs.sha256,Addresses intake verification point; ongoing deployed-artifact monitoring is separate
SI-7(1),Integrity Checks,Automated integrity checks for every pipeline run; Hash stage non-bypassable; mutation checks run after every subsequent stage,report.hashes.sha256_verified / report.hashes.sha512_verified,Periodic re-verification of deployed artifacts is outside veriscan scope
SI-7(6),Cryptographic Protection,SHA-256 and SHA-512 (FIPS 180-4) via sha2 crate; PGP via sequoia-openpgp; evidence deterministic_id uses SHA-256,report.hashes.sha256 / report.hashes.sha512 / report.signature.fingerprint,Signing algorithm (RSA/Ed25519/ECDSA) depends on signing key; key selection is signing organization's responsibility
SI-10,Information Input Validation,Policy YAML schema and semantic validation before use; URL denylist checked before network activity; bundle path traversal prevention,Exit code 99 on policy validation failure; VeriError::PolicyInvalid variants,Invalid policies produce no verification result (exit 99); artifact content treated as untrusted throughout
SA-8,Security and Privacy Engineering Principles,Fail-closed design; no artifact execution; typed verification states; mandatory pipeline; subprocess isolation; no secrets in logs,Architectural — reflected in all evidence records and exit codes,Design-time principles; not runtime-configurable
SA-11,Developer Testing and Evaluation,Integration test suite covers pipeline invariants / bundle scenarios / policy decisions / report schema,Source: tests/pipeline_invariants.rs / tests/offline_bundle.rs / tests/policy_decisions.rs / tests/report_schema.rs,Operator acceptance testing in deployed environment is separate
SA-12,Supply Chain Protection,Full seven-stage pipeline: hash verification / PGP signature / ClamAV scan / static inspection / VT reputation / policy enforcement,Entire report (all fields); report.evidence array,Primary NIST 800-53 anchor for supply chain controls; see also SR controls below
SA-15,Development Process Standards and Tools,Pure-Rust implementation; no unsafe code; Cargo dependency management with pinned Cargo.lock; sequoia-openpgp pure-Rust crypto,Cargo.toml (dependency manifest) / Cargo.lock (pinned versions),Run cargo audit on dependencies as part of tool supply chain due diligence
AU-2,Event Logging,Structured tracing events per pipeline stage; --json-logs flag for SIEM ingestion; --audit-log flag for file-based audit,Structured log stream / report.run_id / report.timestamp / report.verdict,Log destination and retention are operator's responsibility
AU-3,Content of Audit Records,Every evidence item includes: run UUID / ISO 8601 timestamp / stage name / inputs / outputs / tool versions; decision trace records every rule evaluated,report.run_id / report.timestamp / report.artifact / evidence[].timestamp / evidence[].stage_name / evidence[].inputs / evidence[].outputs / report.decision_trace,JSON report satisfies AU-3 content requirements for each verification run
AU-9,Protection of Audit Information,SHA-256 deterministic_id on each evidence item for tamper detection; atomic report writes (temp file + rename) prevent partial writes,evidence[].deterministic_id,Full report-level tamper protection requires external controls (signed storage / write-once media)
AU-12,Audit Record Generation,Evidence items generated by every executed stage for every run including FAILED runs; report.evidence always present; decision_trace always present,report.evidence (array; always present) / report.decision_trace,Early termination (hash mismatch) produces evidence for executed stages only; absence of later stages is itself auditable
SR-1,Supply Chain Risk Management Policy and Procedures,YAML policy engine codifies organizational artifact acceptance policies in machine-enforceable version-controlled format,report.policy.name / report.policy.version / report.policy.digest,Organizational C-SCRM policies at Level 1/2 must be separately documented
SR-2,Supply Chain Risk Management Plan,Multiple policy profiles (contractor_strict / airgapped / ci_gate) represent different risk acceptance stances mapping to organizational risk tiers,Policy file configuration / report.policy.digest,Organizational SCRM plan is a separate document; veriscan implements the technical controls
SR-3,Supply Chain Controls and Processes,Mandatory non-bypassable seven-stage pipeline; policy defines acceptance criteria; decision trace documents which control caused each verdict,report.verdict / report.decision_trace / report.evidence,Organizational processes for acting on FAILED verdicts are separately required
SR-4,Provenance,Hash establishes cryptographic identity; signature verifies provenance; evidence chain records source URL/path / acquisition timestamp / hash-at-acquire,report.hashes / report.signature / evidence[acquire].outputs / evidence[acquire].inputs.source,Long-term provenance monitoring of deployed components requires additional tooling
SR-5,Acquisition Strategies Tools and Methods,Standardized CLI with deterministic exit codes; policy-as-code; stable JSON schema v1.0; machine-readable output for acquisition tracking,Exit codes (0/10/20/99) / report.schema_version: 1.0,Technical component of acquisition strategy; organizational strategy is separately defined
SR-6,Supplier Assessments and Reviews,Signer fingerprint pinning (allow_signers) enforces approved supplier keys; VT reputation provides independent TI; ClamAV provides malware screening,report.signature.fingerprint / report.reputation.status / report.reputation.engines_total / report.malware_scan.status,Technical controls at artifact level; organizational supplier assessment programs (audits / questionnaires) separately required
